DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
ABW,BOG,20400,44366,173228450
ABW,BOG,18750,71700,286050735
ABW,BOG,300,3198,12758580
ABW,BOG,7890,41630,166084966
ABW,BOG,1000,5380,21463779
ABW,BOG,157095,753002,3004139126
ABW,BOG,3000,6144,24519966
ABW,BOG,3000,6799,27133993
ABW,BOG,8400,18347,73220675
ABW,BOG,44730,34541275,1.35631E+11
BIH,BOG,160000,27200,108797552
BIH,BOG,3296000,909800,3637844398
BIH,BOG,990000,118800,475022988
AGO,BOG,100,160827,640493527
AGO,BOG,4000,147400,589380374
AIA,BOG,180,148121,573443045
ATG,BOG,600,65748,260149056
ATG,BOG,1000,179132,708782332
ATG,BOG,25900,1782480,7052845564
ATG,BOG,39600,1039644,4113621793
ATG,BOG,1200,132260,523321077
ATG,BOG,1200,130884,517876575
ATG,BOG,21000,387270,1532334445
ATG,BOG,27600,919920,3639902659
SAU,BOG,1100,304400,1204437744
SAU,BOG,200,73600,291217536
SAU,BOG,700,237200,938543472
SAU,BOG,300,74400,294382944
SAU,BOG,300,58800,232657488
SAU,BOG,21000,2100,8222403
SAU,BOG,550000,85998,336719149
SAU,BOG,3000100,2409907,9537567496
SAU,BOG,6000,600,2349258
SAU,BOG,31900,252600,992073552
SAU,BOG,208800,142128,568430987
SAU,BOG,7000,700,2740801
SAU,BOG,2330700,1814027,7206974383
SAU,BOG,220500,137710,539264539
SAU,BOG,400,1120766,4419213960
SAU,BOG,400,224848,886582409
SAU,BOG,5320,6863400,27150786792
SAU,BOG,300,1127425,4309074721
SAU,BOG,100,5000,19992550
SAU,BOG,375000,139500,557987445
SAU,BOG,80000,15200,60798632
SAU,BOG,156000,147450,589786729
SAU,BOG,50000,15000,59998650
SAU,BOG,10900,163000,651985330
SAU,BOG,284600,1047213,4170525772
SAU,BOG,396000,1859616,7107545332
SAU,BOG,18000,246600,986259438
SAU,BOG,100,487820,1942743150
SAU,BOG,600,1369304,5539135926
SAU,BOG,4400400,22079007,86395900572
SAU,BOG,1296000,3237380,12894970147
SAU,BOG,23800,107773,418029453
SAU,BOG,16400,87680,340089257
SAU,BOG,32800,71592,277082665
SAU,BOG,13750,37305,144714329
SAU,BOG,18000,99975,387999722
SAU,BOG,39760,159205,617645961
SAU,BOG,4400,14674,56084761
SAU,BOG,428800,1767150,7050133282
SAU,BOG,157680,2237400,8764763718
SAU,BOG,127600,341185,1320880668
SAU,BOG,25800,341184,1320876796
SAU,BOG,13400,341184,1320876796
SAU,BOG,100,600000,2393730000
SAU,BOG,11100,341184,1320876796
SAU,BOG,60000,15600,61348404
SAU,BOG,300,28800,112764384
SAU,BOG,500,116000,454189880
SAU,BOG,300,33600,131558448
SAU,BOG,600,96300,377055909
SAU,BOG,600,61200,239624316
SAU,BOG,400,92800,363351904
SAU,BOG,379700,847952,3320096699
ARG,BOG,2171000,723460,2893427627
ARG,BOG,18400,36800,147145168
ARG,BOG,2097100,305400,1221144954
ARG,BOG,380000,100000,402321000
ARG,BOG,143,10470,41174217
ARG,BOG,143,10470,41174217
ARG,BOG,143,10470,41174217
ARG,BOG,143,10470,41174217
ARG,BOG,142,10470,41174217
ARG,BOG,143,10470,41174217
ARG,BOG,143,10470,41174217
ARG,BOG,200,396894,1580630355
ARG,BOG,700000,9100000,36394813000
ARG,BOG,7500,223780,892781499
ARG,BOG,104300,2307210,8932248154
ARG,BOG,200,1526558,6038880261
ARG,BOG,60000,4899329,18967507257
ARG,BOG,40000,9200,36786292
ARG,BOG,90000,5400,21591954
ARG,BOG,62260,570000,2305775400
ARG,BOG,890,8857,35828513
ARG,BOG,100,248652,976150562
ARG,BOG,930,354476,1394008772
ARG,BOG,930,205079,806491624
ARG,BOG,59100,48972,193098065
ARG,BOG,100,435,1707709
ARG,BOG,100,14602,57656581
ARG,BOG,100,59658,235561999
ARG,BOG,800,20640,81027892
ARG,BOG,300,157242,620876326
ARG,BOG,700,158381,625373713
ARG,BOG,400,59836,234902373
ARG,BOG,300,96345,372994850
ARG,BOG,100,1154100,4596203250
ARG,BOG,23700,92306,369215692
ARG,BOG,215479,184478148,7.2241E+11
AUS,BOG,13768000,2324153,9124090122
AUS,BOG,1168000,327040,1303978726
AUS,BOG,520000,72800,285796056
AUS,BOG,945000,520200,2059498854
AUS,BOG,396500,265670,1058030775
AUS,BOG,300,79920,305458236
AUS,BOG,44000,7918,31084246
AUS,BOG,180000,37800,148394106
AUS,BOG,12630400,848410,3379344291
AUS,BOG,1210000,411400,1655148594
AUS,BOG,57760000,10749860,43015778316
AUS,BOG,485800,643068,2543899839
AUS,BOG,6512000,1169520,4599242656
AUS,BOG,402000,72360,286247476
AUS,BOG,30000,9350,37822807
AUS,BOG,63200,1295384,5240113264
AUS,BOG,100,10190,41220791
AUS,BOG,44500,624569,2526519010
AUS,BOG,100,146143,584354246
AUS,BOG,532000,95760,381426444
AUS,BOG,1200,75000,299316000
AUS,BOG,80000,14400,56629296
AUS,BOG,3110000,558600,2196744774
AUS,BOG,5615000,1482700,5905816504
AUS,BOG,34000000,6956000,27706791400
AUS,BOG,500,500,1999255
AUS,BOG,27000,37800,151143678
AUS,BOG,4600,1900,7597169
AUS,BOG,1079,501607,1972614672
AUS,BOG,365000,107550,430190320
AUS,BOG,3180000,674550,2698139290
AUS,BOG,25298000,4972920,19879922677
AUS,BOG,17500,91750,355205537
AUS,BOG,3100,2652211,10384546515
AUS,BOG,4800,722200,2847656266
AUS,BOG,500,55200,217655256
AUS,BOG,800,86020,339179440
AUS,BOG,2300,253920,1001214177
AUS,BOG,7762,69720,282032738
AUS,BOG,2226000,333900,1321162164
AUS,BOG,2825000,680750,2695959372
AUS,BOG,44000,56760,224535748
AUS,BOG,42000,69450,275331629
AUS,BOG,75000,132750,525143070
AUS,BOG,7500,26925,106512069
AUS,BOG,1980000,284400,1129755672
AUS,BOG,180000,37800,149532264
AUS,BOG,4500,9045,35780934
AUS,BOG,6120,68400,270582192
AUS,BOG,36000,6120,24209985
AUS,BOG,715000,128700,509121756
AUS,BOG,4350000,1449500,5773575925
AUS,BOG,31907000,7254617,28895708553
AUS,BOG,11084600,4076503,15907395421
AUS,BOG,2650000,546750,2186185342
AUS,BOG,6350000,1257500,5007993750
AUS,BOG,244800,628920,2473284502
AUS,BOG,96100,641750,2539250730
AUS,BOG,2407500,528975,2064233794
AUS,BOG,2685000,599700,2388305250
AUS,BOG,260000,84000,334530000
AUS,BOG,80000,20000,79817600
AUS,BOG,30000,7500,29931600
AUS,BOG,2866000,689330,2706510173
AUS,BOG,13100,837197,3340039291
AUS,BOG,400000,13833,55187445
AUS,BOG,16800,91347,351211859
AUS,BOG,42200,1135624,4400650030
AUS,BOG,2500,16375,65213437
AUS,BOG,30300,318704,1250904149
AUS,BOG,27673,32930,131236644
AUS,BOG,148900,4229246,16668926920
AUS,BOG,2200,30077,119993695
AUS,BOG,67300,1394696,5507185441
AUS,BOG,414700,5435181,21510857349
AUS,BOG,31000,472700,1858935293
AUS,BOG,11000,62550,249546352
AUS,BOG,12000,99280,396082524
AUS,BOG,27300,298846,1192261059
AUT,BOG,32439,75130,299205225
AUT,BOG,5561,20870,83114775
AUT,BOG,752000,127840,494926168
AUT,BOG,2448000,418220,1619117819
AUT,BOG,1600000,260320,1030214681
AUT,BOG,6320000,1079420,4276688489
AZE,BOG,600,50400,201524904
AZE,BOG,700,206400,825292464
AZE,BOG,100,36800,147145168
AZE,BOG,200,73600,294290336
AZE,BOG,200,49600,198326096
AZE,BOG,200,49600,198326096
AZE,BOG,200,39200,156741592
AZE,BOG,200,25600,102361856
AZE,BOG,200,20800,83169008
AZE,BOG,508000,350898,1388145492
AZE,BOG,90000,63600,254305236
AZE,BOG,177600,158724,628032774
AZE,BOG,253200,221688,886625637
AZE,BOG,60000,20400,81598164
AZE,BOG,680000,100800,403190928
AZE,BOG,5230000,801900,3207527829
AZE,BOG,720000,100544,400481833
AZE,BOG,5090000,735612,2930052937
BHS,BOG,77500,20225,80688648
BHS,BOG,200,36580,144738280
BHS,BOG,22200,449799,1779746691
BHS,BOG,3600,121968,482598103
BHS,BOG,2400,133980,533575350
BHS,BOG,1200,35112,139833540
BHS,BOG,5100,133518,531735435
BHS,BOG,8000,516388,2030742284
BHS,BOG,3200,112000,440450080
BHR,BOG,80000,25600,101293056
BHR,BOG,73200,40176,158966789
BHR,BOG,18000,6480,25639804
BHR,BOG,3000,43200,170932032
BHR,BOG,331200,217050,868076281
BHR,BOG,360500,210490,839760379
BHR,BOG,24000,6720,26809776
BHR,BOG,2700,7277,28985382
BHR,BOG,800,3876,15438689
BHR,BOG,10250,25627,102076185
BHR,BOG,396,2189,8719115
BHR,BOG,25000,4500,17952975
BHR,BOG,1100000,132000,526620600
BHR,BOG,10800,10800,42870762
BHR,BOG,293000,89990,358639195
BHR,BOG,1412500,353125,1382636218
BHR,BOG,1304500,269200,1076332316
BHR,BOG,25000,2500,9857575
BHR,BOG,18000,1800,7097454
BHR,BOG,669600,435010,1715257480
BHR,BOG,40700,150419,593106629
BHR,BOG,2800,21200,83592236
BRB,BOG,100,1,3943
BRB,BOG,400,51736,204706935
BRB,BOG,1600,288872,1148689813
BRB,BOG,44800,3226598,12835568918
BRB,BOG,388900,6107598,24315354615
BRB,BOG,1000,91500,363492351
BRB,BOG,1200,141568,562620914
BRB,BOG,351100,4702979,18732670802
BRB,BOG,123,101821,394194910
BEL,BOG,54445,1591699,6232186015
BEL,BOG,8800,265866,1058984157
BEL,BOG,36400,245820,983257876
BEL,BOG,32000,95600,382391396
BEL,BOG,36000,108000,431990280
BEL,BOG,43320,353284,1413104204
BEL,BOG,1188000,1636800,6465466392
BEL,BOG,1635000,297100,1166346267
BEL,BOG,65600,557600,2143866056
BEL,BOG,24000,204000,784341240
BEL,BOG,4180,6510240,26037249163
BEL,BOG,5783,544000,2166833600
BEL,BOG,241500,15000,59998650
BEL,BOG,16329,667262,2565495610
BEL,BOG,132300,717279,2757801471
BEL,BOG,16230000,5250100,21122254821
BEL,BOG,120000,1570800,6282304644
BEL,BOG,8689500,1703760,6696100287
BLZ,BOG,160,21600,84573288
BLZ,BOG,92981,1978359,7763594369
BLZ,BOG,1020,31000,121378330
BMU,BOG,2000,78498,309952492
BMU,BOG,4200,238316,941000258
BMU,BOG,10000,62594,247154912
BMU,BOG,4900,280790,1108710546
BMU,BOG,16900,336641,1329240454
BMU,BOG,200,180,710737
BLR,BOG,338400,337050,1333625958
BLR,BOG,2627000,2632488,10416123218
BLR,BOG,6950000,2370603,9482198645
BLR,BOG,740000,141700,566787247
BLR,BOG,3855000,755349,3021328018
BLR,BOG,770000,283350,1128625552
BLR,BOG,300000,57000,227039549
BLR,BOG,64000,23520,93683688
BLR,BOG,960000,329450,1317770349
BLR,BOG,1280000,243200,972778112
BLR,BOG,5325000,1773901,7095444348
BLR,BOG,8515000,1634250,6536852917
BLR,BOG,800000,144000,566292960
BLR,BOG,5320000,929999,3657304767
BLR,BOG,102400,322560,1289759385
BLR,BOG,8000,18400,73572584
BLR,BOG,1125000,146250,584986837
BLR,BOG,887500,253738,1014573930
BLR,BOG,240000,33480,133870114
BLR,BOG,120000,16320,64574323
BLR,BOG,1080000,146880,581168908
BLR,BOG,14000,3808,14742481
BLR,BOG,31400,47445,183680945
BLR,BOG,65500,34548,133750854
BOL,BOG,70600,1752764,6920858764
BOL,BOG,12100,555477,2193323153
BOL,BOG,8000,58470,230871133
BOL,BOG,300,4110,16625854
BOL,BOG,1400,9478,38340595
BOL,BOG,63900,234746,949599214
BOL,BOG,98500,365005,1476525525
BOL,BOG,83500,1099602,4448132002
BOL,BOG,1300,4485,18142811
BOL,BOG,9500,37716,152569517
BOL,BOG,3100,40238,162771562
BOL,BOG,7000,29190,118079971
BOL,BOG,8000000,232800,895071768
BOL,BOG,20000,3100000,12137833000
BOL,BOG,3200,20736,83881681
BOL,BOG,27300,94399,381864722
BOL,BOG,1400,5943,24040742
BOL,BOG,2820,200900,772422329
BOL,BOG,400,1072942,4201029295
BOL,BOG,43472,95101,376904434
BOL,BOG,560066,1260284,5015418876
BOL,BOG,49385,123392,487218247
BOL,BOG,39541,74067,294528509
BOL,BOG,2669,5984,23628063
BOL,BOG,16065,30660,121213828
BOL,BOG,40035,76334,302938098
BOL,BOG,18445,33617,132738069
BOL,BOG,7370,16143,63942295
BOL,BOG,7750,18350,72455709
BOL,BOG,605,8435,33597870
BOL,BOG,12552,125914,501462082
BOL,BOG,1786,20136,79963995
BOL,BOG,9360,960645,3886020366
BOL,BOG,100320,366168,1433705172
BOL,BOG,63559,5134796,20610005258
BOL,BOG,38358,2867837,11512138132
BOL,BOG,3840000,284304,1124672507
BOL,BOG,38291,871296,3524584005
BOL,BOG,114978,7202513,28778893765
BOL,BOG,3342,253276,996030664
BOL,BOG,4000,2200000,8779936000
BOL,BOG,27488,2720040,10967131598
BOL,BOG,11410,280968,1116518111
BOL,BOG,271528,10093621,40116725298
BOL,BOG,161450,5771409,22869012380
BOL,BOG,5450,132144,527370846
BOL,BOG,5809,440220,1731204769
BOL,BOG,4424,335200,1318204168
BOL,BOG,346073,15323704,60845977723
BOL,BOG,7380,67392,268432444
BOL,BOG,148874,1085952,4325509708
BOL,BOG,589,23640,92560765
BOL,BOG,10400,368000,1465799200
BOL,BOG,45780,766513,3032233446
BOL,BOG,3600,26964,105408612
BOL,BOG,2500,14575,58278283
BOL,BOG,2900,12826,50338662
BOL,BOG,24300,167925,661739722
BOL,BOG,4900,30816,123243545
BOL,BOG,16600,99947,385947603
BOL,BOG,34200,118905,466379799
BOL,BOG,21400,91458,357123622
BOL,BOG,63800,160770,633317005
BOL,BOG,10300,32248,128954509
BOL,BOG,12500,39007,155838667
BOL,BOG,8000,22968,91129489
BOL,BOG,158700,377896,1497684555
BOL,BOG,44900,156011,620874739
BOL,BOG,24900,77525,307856484
BOL,BOG,700,6482,25918341
BOL,BOG,2300,23943,92056285
BOL,BOG,1000,4290,17153607
BOL,BOG,7300,33668,134621834
BOL,BOG,6900,33326,132632463
BOL,BOG,24800,218805,850924075
BOL,BOG,9200,31740,123910946
BOL,BOG,600,3372,12964699
BOL,BOG,1600,9905,39108021
BOL,BOG,40200,159841,621973629
BOL,BOG,3300,22119,85043352
BOL,BOG,8400,36401,140642736
BOL,BOG,14200,45596,182358010
BOL,BOG,5379,470784,1869263867
BOL,BOG,2400,56628,221722967
BOL,BOG,400,382332,1496994182
BOL,BOG,800,95014,372020666
BOL,BOG,693,1575,6273461
BOL,BOG,462,1227,4887325
BOL,BOG,10748,1658801,6710214981
BOL,BOG,11200,567638,2246007332
BOL,BOG,10882,1103226,4462791879
BOL,BOG,12524,532795,2131654258
BOL,BOG,1263,644568,2607419364
BOL,BOG,54593,1251852,5036463484
BOL,BOG,701,60716,242829391
BOL,BOG,600,4560,18237400
BOL,BOG,8200,55550,222168336
BOL,BOG,1500,9420,37674630
BOL,BOG,700,1942,7766893
BOL,BOG,3000,14790,59151569
BOL,BOG,1400,7196,28779898
BOL,BOG,14300,40083,160309152
BOL,BOG,22700,48191,192736531
BOL,BOG,500,5200,20797036
BOL,BOG,2000,17995,71969742
BOL,BOG,600,1620,6479076
BOL,BOG,500,3550,14197976
BOL,BOG,5800,53534,214105485
BOL,BOG,1397,36400,146444844
BOL,BOG,3368000,318022,1271906726
BOL,BOG,20624,1157994,4612463801
BOL,BOG,31400,1407204,5605104612
BOL,BOG,3400,25840,104528484
BOL,BOG,9700,64796,262114075
BOL,BOG,1600,10048,40646370
BOL,BOG,9000,41822,169179190
BOL,BOG,2200,10846,43874456
BOL,BOG,5900,32196,130239903
BOL,BOG,1300,5486,22192076
BOL,BOG,22200,48020,194251464
BOL,BOG,2100,3423,13846788
BOL,BOG,1600,7264,29384478
BOL,BOG,8100,23584,95402468
BOL,BOG,1300,2880,11650233
BOL,BOG,63400,134909,545736584
BOL,BOG,19800,84793,343006339
BOL,BOG,25300,79207,320409740
BOL,BOG,900,9360,37863259
BOL,BOG,9300,45823,185364116
BOL,BOG,600,2238,9053202
BOL,BOG,6600,63480,256790565
BOL,BOG,400,2380,9627623
BOL,BOG,3600,17044,68946729
BOL,BOG,6500,26975,109119809
BOL,BOG,1906,159071,643477190
BOL,BOG,400,463788,1847337172
BOL,BOG,100,184843,736137247
BOL,BOG,12960,143360,547929088
BOL,BOG,9240,65100,248815455
BOL,BOG,180,2520,9631566
BOL,BOG,3600,333900,1292677155
BOL,BOG,23300,1178350,4561923107
BOL,BOG,13000,175500,679439474
BOL,BOG,83800,401371,1598720898
BOL,BOG,17400,41064,163826881
BOL,BOG,55900,153585,612735036
BOL,BOG,135600,852048,3298661229
