DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
DEU,BOG,128000,1280,5107059
DEU,BOG,1607000,455650,1843549145
DEU,BOG,805000,245940,979005979
DEU,BOG,333354,285838411,1.15754E+12
DEU,BOG,43517,823212,3329489166
DEU,BOG,226152400,3013060,12250469216
DEU,BOG,10780400,111164,449603909
ARM,BOG,5000,50,202847
ARM,BOG,10000,1000,3980670
ARM,BOG,7000,700,2786469
ARM,BOG,6000,600,2388402
ARM,BOG,1173,1500,5971005
ARM,BOG,40000,6800,27030612
ARM,BOG,864000,267840,1081320969
ARM,BOG,40000,7400,30173056
ARM,BOG,180000,33100,134963264
ARM,BOG,56000,183840,747454833
ARM,BOG,6000,13800,56107902
ARM,BOG,97000,15520,61720556
ARM,BOG,3850500,584225,2323369349
ARM,BOG,40000,400,1590736
ARM,BOG,290000,43703,177300448
ARM,BOG,395000,57956,235124014
ARM,BOG,20000,6400,25838016
ARM,BOG,80000,14400,57241296
ARM,BOG,105000,15971,64934732
ARM,BOG,210000,32466,131999938
ARM,BOG,7600,152,617142
ABW,BOG,100,7630,30329936
ABW,BOG,400,18200,72346638
ABW,BOG,24000,1059800,4212800382
ABW,BOG,900,74760,297177728
ABW,BOG,300,18270,72624894
ABW,BOG,200,12740,50642646
ABW,BOG,900,42210,167788548
ABW,BOG,300,20510,81529095
ABW,BOG,3300,227220,903219949
ABW,BOG,2500,99750,396515227
ABW,BOG,1500,10780,42851470
ABW,BOG,100,1820,7234663
ABW,BOG,284200,79924,324246872
ABW,BOG,263900,80252,325577548
ABW,BOG,173400,89876,364621539
ABW,BOG,18400,70523,286107579
ABW,BOG,150000,285800,1155920958
ABW,BOG,200,722500,2872002525
ABW,BOG,100,505400,2009010486
ABW,BOG,60000,360000,1436360400
ABW,BOG,7278,394776,1562432609
ABW,BOG,10613,500016,1978948324
ABW,BOG,15768,361656,1431351267
ABW,BOG,20490,932100,3689037417
ABW,BOG,6281,366384,1450063603
ABW,BOG,1000,300,1218045
ABW,BOG,986800,622124,2511632790
ABW,BOG,21900,28486,115003394
ABW,BOG,87700,113943,460009540
ABW,BOG,131600,52413,211601239
ABW,BOG,65700,45576,183998971
ABW,BOG,2565500,566348,2286454475
ABW,BOG,11200,173762,701510208
ABW,BOG,960,400,1602024
ABW,BOG,850,400,1602024
ABW,BOG,2590,800,3204048
ABW,BOG,960,400,1602024
ABW,BOG,480,200,801012
ABW,BOG,1250,400,1602024
ABW,BOG,1150,200,801012
ABW,BOG,432500,138400,562705336
ABW,BOG,328000,145880,593117445
ABW,BOG,616000,154358,623172573
ABW,BOG,80400,42719,172464719
ABW,BOG,26800,5696,22995834
ABW,BOG,53600,11392,45991668
ABW,BOG,776700,167741,677202282
ABW,BOG,10500,99677,402414987
ABW,BOG,100,200270,802093366
ABW,BOG,9000,18391,74113539
ABW,BOG,7500,16965,68345916
ABW,BOG,25200,54914,221112888
ABW,BOG,2960000,4456566,17896638597
